WARN  [2013-11-26 17:55:42,815] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 17:55:43,477] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
WARN  [2013-11-26 17:56:45,790] [Thread-27] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 17:56:45,791] [Thread-27] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 17:56:45,791] [Thread-27] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 17:58:04,590] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 17:58:05,093] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
WARN  [2013-11-26 17:58:42,357] [Thread-29] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 17:58:42,358] [Thread-29] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 17:58:42,358] [Thread-29] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 17:58:50,887] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 17:58:51,393] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
WARN  [2013-11-26 17:59:40,314] [Thread-30] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 17:59:40,315] [Thread-30] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 17:59:40,315] [Thread-30] (StorageManager.java:335)     - Closing the connection pool [done].
WARN  [2013-11-26 17:59:40,456] [Thread-10] (Slf4jLog.java:111)     - 2 threads could not be stopped
WARN  [2013-11-26 17:59:43,124] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 17:59:44,869] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:file:MyFile
WARN  [2013-11-26 17:59:45,333] [main] (DataSources.java:29)     - Created a DataSource to: jdbc:h2:mem:validator
WARN  [2013-11-26 18:01:00,119] [Thread-29] (H2StorageManager.java:178)     - Closing the database server (for HSqlDB) [done].
WARN  [2013-11-26 18:01:00,121] [Thread-29] (H2StorageManager.java:179)     - Closing the connection pool [done].
WARN  [2013-11-26 18:01:00,125] [Thread-29] (StorageManager.java:335)     - Closing the connection pool [done].
